source_position,imdb_id,title,year,decision,detail
46,tt0025878,The Thin Man,1934,ok,
47,tt0025948,Viva Villa!,1934,ok,
48,tt0025986,The White Parade,1934,ok,
49,tt0026752,Mutiny on the Bounty,1935,ok,
50,tt0026056,Alice Adams,1935,ok,
51,tt0026144,Broadway Melody of 1936,1935,ok,
52,tt0026174,Captain Blood,1935,ok,
53,tt0026266,David Copperfield,1935,ok,
54,tt0026529,The Informer,1935,ok,
55,tt0026725,Les Misérables,1935,ok,
56,tt0026643,The Lives of a Bengal Lancer,1935,ok,
57,tt0026714,A Midsummer Night's Dream,1935,ok,
58,tt0026768,Naughty Marietta,1935,ok,
59,tt0026955,Ruggles of Red Gap,1935,ok,
60,tt0027125,Top Hat,1935,ok,
61,tt0027698,The Great Ziegfeld,1936,ok,
62,tt0027300,Anthony Adverse,1936,ok,
63,tt0027532,Dodsworth,1936,ok,
64,tt0027884,Libeled Lady,1936,ok,
65,tt0027996,Mr. Deeds Goes to Town,1936,ok,
66,tt0028203,Romeo and Juliet,1936,ok,
67,tt0028216,San Francisco,1936,ok,
68,tt0028313,The Story of Louis Pasteur,1936,ok,
69,tt0027075,A Tale of Two Cities,1935,ok,
70,tt0028373,Three Smart Girls,1936,ok,
71,tt0029146,The Life of Emile Zola,1937,ok,
72,tt0028597,The Awful Truth,1937,ok,
73,tt0028691,Captains Courageous,1937,ok,
74,tt0028773,Dead End,1937,ok,
75,tt0028944,The Good Earth,1937,ok,
76,tt0029047,In Old Chicago,1938,ok,
77,tt0029162,Lost Horizon,1937,ok,
78,tt0029347,One Hundred Men and a Girl,1937,ok,
79,tt0029604,Stage Door,1937,ok,
80,tt0029606,A Star Is Born,1937,ok,
81,tt0030993,You Can't Take It with You,1938,ok,
82,tt0029843,The Adventures of Robin Hood,1938,ok,
83,tt0029852,Alexander's Ragtime Band,1938,ok,
84,tt0029942,Boys Town,1938,ok,
85,tt0029995,The Citadel,1938,ok,
86,tt0030149,Four Daughters,1938,ok,
87,tt0028950,Grand Illusion,1937,ok,
88,tt0030287,Jezebel,1938,ok,
89,tt0030637,Pygmalion,1938,ok,
90,tt0030848,Test Pilot,1938,ok,
91,tt0031381,Gone with the Wind,1939,ok,
92,tt0031210,Dark Victory,1939,ok,
93,tt0031385,"Goodbye, Mr. Chips",1939,ok,
94,tt0031593,Love Affair,1939,ok,
95,tt0031679,Mr. Smith Goes to Washington,1939,ok,
96,tt0031725,Ninotchka,1939,ok,
97,tt0031742,Of Mice and Men,1939,ok,
98,tt0031971,Stagecoach,1939,ok,
99,tt0032138,The Wizard of Oz,1939,ok,
100,tt0032145,Wuthering Heights,1939,ok,
101,tt0032976,Rebecca,1940,ok,
102,tt0032194,"All This, and Heaven Too",1940,ok,
103,tt0032484,Foreign Correspondent,1940,ok,
104,tt0032551,The Grapes of Wrath,1940,ok,
105,tt0032553,The Great Dictator,1940,ok,
106,tt0032671,Kitty Foyle,1940,ok,
107,tt0032701,The Letter,1940,ok,
108,tt0032728,The Long Voyage Home,1940,ok,
109,tt0032881,Our Town,1940,ok,
110,tt0032904,The Philadelphia Story,1940,ok,
111,tt0033729,How Green Was My Valley,1941,ok,
112,tt0033407,Blossoms in the Dust,1941,ok,
113,tt0033467,Citizen Kane,1941,ok,
114,tt0033712,Here Comes Mr. Jordan,1941,ok,
115,tt0033722,Hold Back the Dawn,1941,ok,
116,tt0033836,The Little Foxes,1941,ok,
117,tt0033870,The Maltese Falcon,1941,ok,
118,tt0033980,One Foot in Heaven,1941,ok,
119,tt0034167,Sergeant York,1941,ok,
120,tt0034248,Suspicion,1941,ok,
121,tt0035093,Mrs. Miniver,1942,ok,
122,tt0033627,The 49th Parallel,1941,ok,
123,tt0034946,Kings Row,1942,ok,
124,tt0035015,The Magnificent Ambersons,1942,ok,
125,tt0035189,The Pied Piper,1942,ok,
126,tt0035211,The Pride of the Yankees,1942,ok,
127,tt0035238,Random Harvest,1942,ok,
128,tt0035417,The Talk of the Town,1942,ok,
129,tt0035530,Wake Island,1942,ok,
130,tt0035575,Yankee Doodle Dandy,1942,ok,
131,tt0034583,Casablanca,1942,ok,
132,tt0034583,Casablanca,1942,duplicate_in_csv,duplicate of row 131 (same Const)
133,tt0035896,For Whom the Bell Tolls,1943,ok,
134,tt0035979,Heaven Can Wait,1943,ok,
135,tt0036022,The Human Comedy,1943,ok,
136,tt0034891,In Which We Serve,1942,ok,
137,tt0036126,Madame Curie,1943,ok,
138,tt0036172,The More the Merrier,1943,ok,
139,tt0036244,The Ox-Bow Incident,1943,ok,
140,tt0036377,The Song of Bernadette,1943,ok,
141,tt0036515,Watch on the Rhine,1943,ok,
142,tt0036872,Going My Way,1944,ok,
143,tt0036775,Double Indemnity,1944,ok,
144,tt0036855,Gaslight,1944,ok,
145,tt0037280,Since You Went Away,1944,ok,
146,tt0037465,Wilson,1944,ok,
147,tt0037884,The Lost Weekend,1945,ok,
148,tt0037514,Anchors Aweigh,1945,ok,
149,tt0037536,The Bells of St. Mary's,1945,ok,
150,tt0037913,Mildred Pierce,1945,ok,
151,tt0038109,Spellbound,1945,ok,
152,tt0036868,The Best Years of Our Lives,1946,ok,
153,tt0036910,Henry V,1944,ok,
154,tt0038650,It's a Wonderful Life,1946,ok,
155,tt0038873,The Razor's Edge,1946,ok,
156,tt0039111,The Yearling,1946,ok,
157,tt0039416,Gentleman's Agreement,1947,ok,
158,tt0039190,The Bishop's Wife,1947,ok,
159,tt0039286,Crossfire,1947,ok,
160,tt0038574,Great Expectations,1946,ok,
161,tt0039628,Miracle on 34th Street,1947,ok,
162,tt0040416,Hamlet,1948,ok,
163,tt0040495,Johnny Belinda,1948,ok,
164,tt0040725,The Red Shoes,1948,ok,
165,tt0040806,The Snake Pit,1948,ok,
166,tt0040897,The Treasure of the Sierra Madre,1948,ok,
167,tt0041113,All the King's Men,1949,ok,
168,tt0041163,Battleground,1949,ok,
169,tt0041452,The Heiress,1949,ok,
170,tt0041587,A Letter to Three Wives,1949,ok,
171,tt0041996,Twelve O'Clock High,1949,ok,
172,tt0042192,All About Eve,1950,ok,
173,tt0042276,Born Yesterday,1950,ok,
174,tt0042451,Father of the Bride,1950,ok,
175,tt0042646,King Solomon's Mines,1950,ok,
176,tt0043014,Sunset Boulevard,1950,ok,
177,tt0043278,An American in Paris,1951,ok,
178,tt0043459,Decision Before Dawn,1951,ok,
179,tt0043924,A Place in the Sun,1951,ok,
180,tt0043949,Quo Vadis,1951,ok,
181,tt0044081,A Streetcar Named Desire,1951,ok,
182,tt0044672,The Greatest Show on Earth,1952,ok,
183,tt0044706,High Noon,1952,ok,
184,tt0044760,Ivanhoe,1952,ok,
185,tt0044926,Moulin Rouge,1952,ok,
186,tt0045061,The Quiet Man,1952,ok,
187,tt0045793,From Here to Eternity,1953,ok,
188,tt0045943,Julius Caesar,1953,ok,
189,tt0046247,The Robe,1953,ok,
190,tt0046250,Roman Holiday,1953,ok,
191,tt0046303,Shane,1953,ok,
192,tt0047296,On the Waterfront,1954,ok,
193,tt0046816,The Caine Mutiny,1954,ok,
194,tt0046874,The Country Girl,1954,ok,
195,tt0047472,Seven Brides for Seven Brothers,1954,ok,
196,tt0047580,Three Coins in the Fountain,1954,ok,
197,tt0048356,Marty,1955,ok,
198,tt0048316,Love Is a Many-Splendored Thing,1955,ok,
199,tt0048380,Mister Roberts,1955,ok,
200,tt0048491,Picnic,1955,ok,
201,tt0048563,The Rose Tattoo,1955,ok,
202,tt0048960,Around the World in 80 Days,1956,ok,
203,tt0049233,Friendly Persuasion,1956,ok,
204,tt0049261,Giant,1956,ok,
205,tt0049408,The King and I,1956,ok,
206,tt0049833,The Ten Commandments,1956,ok,
207,tt0050212,The Bridge on the River Kwai,1957,ok,
208,tt0050083,12 Angry Men,1957,ok,
209,tt0050839,Peyton Place,1957,ok,
210,tt0050933,Sayonara,1957,ok,
211,tt0051201,Witness for the Prosecution,1957,ok,
212,tt0051658,Gigi,1958,ok,
213,tt0051383,Auntie Mame,1958,ok,
214,tt0051459,Cat on a Hot Tin Roof,1958,ok,
215,tt0051525,The Defiant Ones,1958,ok,
216,tt0052182,Separate Tables,1958,ok,
217,tt0052618,Ben-Hur,1959,ok,
218,tt0052561,Anatomy of a Murder,1959,ok,
219,tt0052738,The Diary of Anne Frank,1959,ok,
220,tt0053131,The Nun's Story,1959,ok,
221,tt0053226,Room at the Top,1958,ok,
222,tt0053604,The Apartment,1960,ok,
223,tt0053580,The Alamo,1960,ok,
224,tt0053793,Elmer Gantry,1960,ok,
225,tt0054326,Sons and Lovers,1960,ok,
226,tt0054353,The Sundowners,1960,ok,
227,tt0055614,West Side Story,1961,ok,
228,tt0054866,Fanny,1961,ok,
229,tt0054953,The Guns of Navarone,1961,ok,
230,tt0054997,The Hustler,1961,ok,
231,tt0055031,Judgment at Nuremberg,1961,ok,
232,tt0056172,Lawrence of Arabia,1962,ok,
233,tt0056197,The Longest Day,1962,ok,
234,tt0056262,The Music Man,1962,ok,
235,tt0056264,Mutiny on the Bounty,1962,ok,
236,tt0056592,To Kill a Mockingbird,1962,ok,
237,tt0057590,Tom Jones,1963,ok,
238,tt0056825,America America,1963,ok,
239,tt0056937,Cleopatra,1963,ok,
240,tt0056085,How the West Was Won,1962,ok,
241,tt0057251,Lilies of the Field,1963,ok,
242,tt0058385,My Fair Lady,1964,ok,
243,tt0057877,Becket,1964,ok,
244,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,ok,
245,tt0058331,Mary Poppins,1964,ok,
246,tt0057831,Zorba the Greek,1964,ok,
247,tt0059742,The Sound of Music,1965,ok,
248,tt0059084,Darling,1965,ok,
249,tt0059113,Doctor Zhivago,1965,ok,
250,tt0059712,Ship of Fools,1965,ok,
251,tt0059798,A Thousand Clowns,1965,ok,
252,tt0060665,A Man for All Seasons,1966,ok,
253,tt0060086,Alfie,1966,ok,
254,tt0060921,The Russians Are Coming the Russians Are Coming,1966,ok,
255,tt0060934,The Sand Pebbles,1966,ok,
256,tt0061184,Who's Afraid of Virginia Woolf?,1966,ok,
257,tt0061811,In the Heat of the Night,1967,ok,
258,tt0061418,Bonnie and Clyde,1967,ok,
259,tt0061584,Doctor Dolittle,1967,ok,
260,tt0061722,The Graduate,1967,ok,
261,tt0061735,Guess Who's Coming to Dinner,1967,ok,
262,tt0063385,Oliver!,1968,ok,
263,tt0062994,Funny Girl,1968,ok,
264,tt0063227,The Lion in Winter,1968,ok,
265,tt0063483,"Rachel, Rachel",1968,ok,
266,tt0063518,Romeo and Juliet,1968,ok,
267,tt0064665,Midnight Cowboy,1969,ok,
268,tt0064030,Anne of the Thousand Days,1969,ok,
269,tt0064115,Butch Cassidy and the Sundance Kid,1969,ok,
270,tt0064418,"Hello, Dolly!",1969,ok,
271,tt0065234,Z,1969,ok,
272,tt0066206,Patton,1970,ok,
273,tt0065377,Airport,1970,ok,
274,tt0065724,Five Easy Pieces,1970,ok,
275,tt0066011,Love Story,1970,ok,
276,tt0066026,M*A*S*H,1970,ok,
277,tt0067116,The French Connection,1971,ok,
278,tt0066921,A Clockwork Orange,1971,ok,
279,tt0067093,Fiddler on the Roof,1971,ok,
280,tt0067328,The Last Picture Show,1971,ok,
281,tt0067483,Nicholas and Alexandra,1971,ok,
282,tt0068646,The Godfather,1972,ok,
283,tt0068327,Cabaret,1972,ok,
284,tt0068473,Deliverance,1972,ok,
285,tt0067919,The Emigrants,1971,ok,
286,tt0069303,Sounder,1972,ok,
287,tt0070735,The Sting,1973,ok,
288,tt0069704,American Graffiti,1973,ok,
289,tt0069467,Cries & Whispers,1972,ok,
290,tt0070047,The Exorcist,1973,ok,
291,tt0070819,A Touch of Class,1973,ok,
292,tt0071562,The Godfather Part II,1974,ok,
293,tt0071315,Chinatown,1974,ok,
294,tt0071360,The Conversation,1974,ok,
295,tt0071746,Lenny,1974,ok,
296,tt0072308,The Towering Inferno,1974,ok,
297,tt0073486,One Flew Over the Cuckoo's Nest,1975,ok,
298,tt0072684,Barry Lyndon,1975,ok,
299,tt0072890,Dog Day Afternoon,1975,ok,
300,tt0073195,Jaws,1975,ok,
301,tt0073440,Nashville,1975,ok,
302,tt0075148,Rocky,1976,ok,
303,tt0074119,All the President's Men,1976,ok,
304,tt0074235,Bound for Glory,1976,ok,
305,tt0074958,Network,1976,ok,
306,tt0075314,Taxi Driver,1976,ok,
307,tt0075686,Annie Hall,1977,ok,
308,tt0076095,The Goodbye Girl,1977,ok,
309,tt0076245,Julia,1977,ok,
310,tt0076759,Star Wars: Episode IV - A New Hope,1977,ok,
311,tt0076843,The Turning Point,1977,ok,
312,tt0077416,The Deer Hunter,1978,ok,
313,tt0077362,Coming Home,1978,ok,
314,tt0077663,Heaven Can Wait,1978,ok,
315,tt0077928,Midnight Express,1978,ok,
316,tt0078444,An Unmarried Woman,1978,ok,
317,tt0079417,Kramer vs. Kramer,1979,ok,
318,tt0078754,All That Jazz,1979,ok,
319,tt0078788,Apocalypse Now,1979,ok,
320,tt0078902,Breaking Away,1979,ok,
321,tt0079638,Norma Rae,1979,ok,
322,tt0081283,Ordinary People,1980,ok,
323,tt0080549,Coal Miner's Daughter,1980,ok,
324,tt0080678,The Elephant Man,1980,ok,
325,tt0081398,Raging Bull,1980,ok,
326,tt0080009,Tess,1979,ok,
327,tt0082158,Chariots of Fire,1981,ok,
328,tt0080388,Atlantic City,1980,ok,
329,tt0082846,On Golden Pond,1981,ok,
330,tt0082971,Raiders of the Lost Ark,1981,ok,
331,tt0082979,Reds,1981,ok,
332,tt0083987,Gandhi,1982,ok,
333,tt0083866,E.T. the Extra-Terrestrial,1982,ok,
334,tt0084335,Missing,1982,ok,
335,tt0084805,Tootsie,1982,ok,
336,tt0084855,The Verdict,1982,ok,
337,tt0086425,Terms of Endearment,1983,ok,
338,tt0085244,The Big Chill,1983,ok,
339,tt0085461,The Dresser,1983,ok,
340,tt0086197,The Right Stuff,1983,ok,
341,tt0086423,Tender Mercies,1983,ok,
342,tt0086879,Amadeus,1984,ok,
343,tt0087553,The Killing Fields,1984,ok,
344,tt0087892,A Passage to India,1984,ok,
345,tt0087921,Places in the Heart,1984,ok,
346,tt0088146,A Soldier's Story,1984,ok,
347,tt0089755,Out of Africa,1985,ok,
348,tt0088939,The Color Purple,1985,ok,
349,tt0089424,Kiss of the Spider Woman,1985,ok,
350,tt0089841,Prizzi's Honor,1985,ok,
351,tt0090329,Witness,1985,ok,
352,tt0091763,Platoon,1986,ok,
353,tt0090830,Children of a Lesser God,1986,ok,
354,tt0091167,Hannah and Her Sisters,1986,ok,
355,tt0091530,The Mission,1986,ok,
356,tt0091867,A Room with a View,1986,ok,
357,tt0093389,The Last Emperor,1987,ok,
358,tt0092699,Broadcast News,1987,ok,
359,tt0093010,Fatal Attraction,1987,ok,
360,tt0093209,Hope and Glory,1987,ok,
361,tt0093565,Moonstruck,1987,ok,
362,tt0095953,Rain Man,1988,ok,
363,tt0094606,The Accidental Tourist,1988,ok,
364,tt0094947,Dangerous Liaisons,1988,ok,
365,tt0095647,Mississippi Burning,1988,ok,
366,tt0096463,Working Girl,1988,ok,
367,tt0097239,Driving Miss Daisy,1989,ok,
368,tt0096969,Born on the Fourth of July,1989,ok,
369,tt0097165,Dead Poets Society,1989,ok,
370,tt0097351,Field of Dreams,1989,ok,
371,tt0097937,My Left Foot,1989,ok,
372,tt0099348,Dances with Wolves,1990,ok,
373,tt0099077,Awakenings,1990,ok,
374,tt0099653,Ghost,1990,ok,
375,tt0099674,The Godfather Part III,1990,ok,
376,tt0099685,GoodFellas,1990,ok,
377,tt0102926,The Silence of the Lambs,1991,ok,
378,tt0101414,Beauty and the Beast,1991,ok,
379,tt0101516,Bugsy,1991,ok,
380,tt0102138,JFK,1991,ok,
381,tt0102713,The Prince of Tides,1991,ok,
382,tt0105695,Unforgiven,1992,ok,
383,tt0104036,The Crying Game,1992,ok,
384,tt0104257,A Few Good Men,1992,ok,
385,tt0104454,Howards End,1992,ok,
386,tt0105323,Scent of a Woman,1992,ok,
387,tt0108052,Schindler's List,1993,ok,
388,tt0106977,The Fugitive,1993,ok,
389,tt0107207,In the Name of the Father,1993,ok,
390,tt0107822,The Piano,1993,ok,
391,tt0107943,The Remains of the Day,1993,ok,
392,tt0109830,Forrest Gump,1994,ok,
393,tt0109831,Four Weddings and a Funeral,1994,ok,
394,tt0110912,Pulp Fiction,1994,ok,
395,tt0110932,Quiz Show,1994,ok,
396,tt0111161,The Shawshank Redemption,1994,ok,
397,tt0112573,Braveheart,1995,ok,
398,tt0112384,Apollo 13,1995,ok,
399,tt0112431,Babe,1995,ok,
400,tt0110877,The Postman,1994,ok,
401,tt0114388,Sense and Sensibility,1995,ok,
402,tt0116209,The English Patient,1996,ok,
403,tt0116282,Fargo,1996,ok,
404,tt0116695,Jerry Maguire,1996,ok,
405,tt0117589,Secrets & Lies,1996,ok,
406,tt0117631,Shine,1996,ok,
407,tt0120338,Titanic,1997,ok,
408,tt0119822,As Good as It Gets,1997,ok,
409,tt0119164,The Full Monty,1997,ok,
410,tt0119217,Good Will Hunting,1997,ok,
411,tt0119488,L.A. Confidential,1997,ok,
412,tt0138097,Shakespeare in Love,1998,ok,
413,tt0127536,Elizabeth,1998,ok,
414,tt0118799,Life Is Beautiful,1997,ok,
415,tt0120815,Saving Private Ryan,1998,ok,
416,tt0120863,The Thin Red Line,1998,ok,
417,tt0169547,American Beauty,1999,ok,
418,tt0124315,The Cider House Rules,1999,ok,
419,tt0120689,The Green Mile,1999,ok,
420,tt0140352,The Insider,1999,ok,
421,tt0167404,The Sixth Sense,1999,ok,
422,tt0172495,Gladiator,2000,ok,
423,tt0241303,Chocolat,2000,ok,
424,tt0190332,"Crouching Tiger, Hidden Dragon",2000,ok,
425,tt0195685,Erin Brockovich,2000,ok,
426,tt0181865,Traffic,2000,ok,
427,tt0268978,A Beautiful Mind,2001,ok,
428,tt0280707,Gosford Park,2001,ok,
429,tt0247425,In the Bedroom,2001,ok,
430,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,ok,
431,tt0203009,Moulin Rouge!,2001,ok,
432,tt0299658,Chicago,2002,ok,
433,tt0217505,Gangs of New York,2002,ok,
434,tt0274558,The Hours,2002,ok,
435,tt0167261,The Lord of the Rings: The Two Towers,2002,ok,
436,tt0253474,The Pianist,2002,ok,
437,tt0167260,The Lord of the Rings: The Return of the King,2003,ok,
438,tt0335266,Lost in Translation,2003,ok,
439,tt0311113,Master and Commander: The Far Side of the World,2003,ok,
440,tt0327056,Mystic River,2003,ok,
441,tt0329575,Seabiscuit,2003,ok,
442,tt0405159,Million Dollar Baby,2004,ok,
443,tt0338751,The Aviator,2004,ok,
444,tt0308644,Finding Neverland,2004,ok,
445,tt0350258,Ray,2004,ok,
446,tt0375063,Sideways,2004,ok,
447,tt0375679,Crash,2004,ok,
448,tt0388795,Brokeback Mountain,2005,ok,
449,tt0379725,Capote,2005,ok,
450,tt0433383,"Good Night, and Good Luck.",2005,ok,
451,tt0408306,Munich,2005,ok,
452,tt0407887,The Departed,2006,ok,
453,tt0449467,Babel,2006,ok,
454,tt0498380,Letters from Iwo Jima,2006,ok,
455,tt0449059,Little Miss Sunshine,2006,ok,
456,tt0436697,The Queen,2006,ok,
457,tt0477348,No Country for Old Men,2007,ok,
458,tt0783233,Atonement,2007,ok,
459,tt0467406,Juno,2007,ok,
460,tt0465538,Michael Clayton,2007,ok,
461,tt0469494,There Will Be Blood,2007,ok,
462,tt1010048,Slumdog Millionaire,2008,ok,
463,tt0976051,The Reader,2008,ok,
464,tt0870111,Frost/Nixon,2008,ok,
465,tt0421715,The Curious Case of Benjamin Button,2008,ok,
466,tt1013753,Milk,2008,ok,
467,tt0887912,The Hurt Locker,2008,ok,
468,tt0499549,Avatar,2009,ok,
469,tt0878804,The Blind Side,2009,ok,
470,tt1136608,District 9,2009,ok,
471,tt1174732,An Education,2009,ok,
472,tt0361748,Inglourious Basterds,2009,ok,
473,tt1019452,A Serious Man,2009,ok,
474,tt0929632,Precious,2009,ok,
475,tt1049413,Up,2009,ok,
476,tt1193138,Up in the Air,2009,ok,
477,tt1504320,The King's Speech,2010,ok,
478,tt1542344,127 Hours,2010,ok,
479,tt0947798,Black Swan,2010,ok,
480,tt1375666,Inception,2010,ok,
481,tt0964517,The Fighter,2010,ok,
482,tt0842926,The Kids Are All Right,2010,ok,
483,tt1285016,The Social Network,2010,ok,
484,tt0435761,Toy Story 3,2010,ok,
485,tt1403865,True Grit,2010,ok,
486,tt1399683,Winter's Bone,2010,ok,
487,tt1655442,The Artist,2011,ok,
488,tt1568911,War Horse,2011,ok,
489,tt1210166,Moneyball,2011,ok,
490,tt0477302,Extremely Loud & Incredibly Close,2011,ok,
491,tt1454029,The Help,2011,ok,
492,tt0970179,Hugo,2011,ok,
493,tt1605783,Midnight in Paris,2011,ok,
494,tt1033575,The Descendants,2011,ok,
495,tt0478304,The Tree of Life,2011,ok,
496,tt1024648,Argo,2012,ok,
497,tt1602620,Amour,2012,ok,
498,tt2125435,Beasts of the Southern Wild,2012,ok,
499,tt1853728,Django Unchained,2012,ok,
500,tt1707386,Les Misérables,2012,ok,
501,tt0454876,Life of Pi,2012,ok,
502,tt0443272,Lincoln,2012,ok,
503,tt1045658,Silver Linings Playbook,2012,ok,
504,tt1790885,Zero Dark Thirty,2012,ok,
505,tt2024544,12 Years a Slave,2013,ok,
506,tt1800241,American Hustle,2013,ok,
507,tt1454468,Gravity,2013,ok,
508,tt0993846,The Wolf of Wall Street,2013,ok,
509,tt0790636,Dallas Buyers Club,2013,ok,
510,tt1798709,Her,2013,ok,
511,tt1535109,Captain Phillips,2013,ok,
512,tt1821549,Nebraska,2013,ok,
513,tt2431286,Philomena,2013,ok,
514,tt2562232,Birdman or (The Unexpected Virtue of Ignorance),2014,ok,
515,tt1065073,Boyhood,2014,ok,
516,tt2278388,The Grand Budapest Hotel,2014,ok,
517,tt2084970,The Imitation Game,2014,ok,
518,tt2980516,The Theory of Everything,2014,ok,
519,tt1020072,Selma,2014,ok,
520,tt2179136,American Sniper,2014,ok,
521,tt2582802,Whiplash,2014,ok,
522,tt1895587,Spotlight,2015,ok,
523,tt1596363,The Big Short,2015,ok,
524,tt3682448,Bridge of Spies,2015,ok,
525,tt2381111,Brooklyn,2015,ok,
526,tt1392190,Mad Max: Fury Road,2015,ok,
527,tt3659388,The Martian,2015,ok,
528,tt1663202,The Revenant,2015,ok,
529,tt3170832,Room,2015,ok,
530,tt4975722,Moonlight,2016,ok,
531,tt2543164,Arrival,2016,ok,
532,tt2671706,Fences,2016,ok,
533,tt2119532,Hacksaw Ridge,2016,ok,
534,tt2582782,Hell or High Water,2016,ok,
535,tt4846340,Hidden Figures,2016,ok,
536,tt3783958,La La Land,2016,ok,
537,tt3741834,Lion,2016,ok,
538,tt4034228,Manchester by the Sea,2016,ok,
539,tt5580390,The Shape of Water,2017,ok,
540,tt5726616,Call Me by Your Name,2017,ok,
541,tt4555426,Darkest Hour,2017,ok,
542,tt5013056,Dunkirk,2017,ok,
543,tt5052448,Get Out,2017,ok,
544,tt4925292,Lady Bird,2017,ok,
545,tt5776858,Phantom Thread,2017,ok,
546,tt6294822,The Post,2017,ok,
547,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,ok,
548,tt6966692,Green Book,2018,ok,
549,tt1825683,Black Panther,2018,ok,
550,tt7349662,BlacKkKlansman,2018,ok,
551,tt1727824,Bohemian Rhapsody,2018,ok,
552,tt5083738,The Favourite,2018,ok,
553,tt6155172,Roma,2018,ok,
554,tt1517451,A Star Is Born,2018,ok,
555,tt6266538,Vice,2018,ok,
556,tt6751668,Parasite,2019,ok,
557,tt8579674,1917,2019,ok,
558,tt1950186,Ford v Ferrari,2019,ok,
559,tt1302006,The Irishman,2019,ok,
560,tt2584384,Jojo Rabbit,2019,ok,
561,tt7286456,Joker,2019,ok,
562,tt3281548,Little Women,2019,ok,
563,tt7653254,Marriage Story,2019,ok,
564,tt7131622,Once Upon a Time in... Hollywood,2019,ok,
565,tt10272386,The Father,2020,ok,
566,tt9784798,Judas and the Black Messiah,2021,ok,
567,tt10618286,Mank,2020,ok,
568,tt10633456,Minari,2020,ok,
569,tt9770150,Nomadland,2020,ok,
570,tt9620292,Promising Young Woman,2020,ok,
571,tt5363618,Sound of Metal,2019,ok,
572,tt1070874,The Trial of the Chicago 7,2020,ok,
573,tt12789558,Belfast,2021,ok,
574,tt11286314,Don't Look Up,2021,ok,
575,tt1160419,Dune: Part One,2021,ok,
576,tt11271038,Licorice Pizza,2021,ok,
577,tt10293406,The Power of the Dog,2021,ok,
578,tt10366460,CODA,2021,ok,
579,tt14039582,Drive My Car,2021,ok,
580,tt9620288,King Richard,2021,ok,
581,tt7740496,Nightmare Alley,2021,ok,
582,tt3581652,West Side Story,2021,ok,
583,tt1016150,All Quiet on the Western Front,2022,ok,
584,tt1630029,Avatar: The Way of Water,2022,ok,
585,tt11813216,The Banshees of Inisherin,2022,ok,
586,tt3704428,Elvis,2022,ok,
587,tt6710474,Everything Everywhere All at Once,2022,ok,
588,tt14208870,The Fabelmans,2022,ok,
589,tt14444726,Tár,2022,ok,
590,tt1745960,Top Gun: Maverick,2022,ok,
591,tt23561236,American Fiction,2023,ok,
592,tt17009710,Anatomy of a Fall,2023,ok,
593,tt5537002,Killers of the Flower Moon,2023,ok,
594,tt1517268,Barbie,2023,ok,
595,tt5535276,Maestro,2023,ok,
596,tt15398776,Oppenheimer,2023,ok,
597,tt14849194,The Holdovers,2023,ok,
598,tt14230458,Poor Things,2023,ok,
599,tt13238346,Past Lives,2023,ok,
600,tt7160372,The Zone of Interest,2023,ok,
