title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,reason
Sweet Sweetback’s Baadasssss Song,Melvin Van Peebles,1971,United States,tt0067810,1971,97,fuzzy_canonical,100.0,has_credits_no_shared_actor
Ciao! Manhattan,John Palmer and David Weisman,1972,United States,tt0068379,1972,84,fuzzy_canonical,95.7,has_credits_no_shared_actor
Come On Children,Allan King,1972,Canada,tt0269104,1973,96,fuzzy_canonical,92.5,has_credits_no_shared_actor
Don’t Play Us Cheap,Melvin Van Peebles,1972,United States,tt0069996,1972,99,fuzzy_canonical,100.0,has_credits_no_shared_actor
Goodbye CP,Kazuo Hara,1972,Japan,tt0234669,1972,82,fuzzy_canonical,100.0,has_credits_no_shared_actor
Hotel Monterey,Chantal Akerman,1972,United States,tt0068725,1973,65,fuzzy_canonical,92.5,no_actor_credits_in_imdb
Sambizanga,Sarah Maldoror,1972,Angola,tt0069214,1972,97,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Harder They Come,Perry Henzell,1972,United States,tt0070155,1972,120,fuzzy_canonical,100.0,has_credits_no_shared_actor
A River Called Titas,Ritwik Ghatak,1973,Bangladesh,tt0070809,1973,159,fuzzy_canonical,100.0,has_credits_no_shared_actor
"Humain, trop humain",Louis Malle,1973,France,tt0071635,1974,75,fuzzy_canonical,92.5,has_credits_no_shared_actor
Woodcutters of the Deep South,Lionel Rogosin,1973,United States,tt1196255,1973,85,fuzzy_canonical,100.0,no_actor_credits_in_imdb
General Idi Amin Dada: A Self-Portrait,Barbet Schroeder,1974,France,tt0071544,1974,92,fuzzy_canonical,100.0,has_credits_no_shared_actor
Gone in 60 Seconds,H. B. Halicki,1974,United States,tt0071571,1974,98,fuzzy_canonical,100.0,has_credits_no_shared_actor
Hearts and Minds,Peter Davis,1974,United States,tt0071604,1974,112,fuzzy_canonical,100.0,has_credits_no_shared_actor
Space Is the Place,John Coney,1974,United States,tt0072195,1974,82,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Traveler,Abbas Kiarostami,1974,Iran,tt0071859,1974,83,fuzzy_canonical,100.0,has_credits_no_shared_actor
Not a Pretty Picture,Martha Coolidge,1975,United States,tt0073467,1976,83,fuzzy_canonical,92.5,has_credits_no_shared_actor
Overlord,Stuart Cooper,1975,United Kingdom,tt0073502,1975,83,fuzzy_canonical,100.0,has_credits_no_shared_actor
Dying,Michael Roemer,1976,United States,tt9222354,1976,82,fuzzy_canonical,100.0,no_actor_credits_in_imdb
One Way or Another,Sara Gómez,1977,,tt0075915,1975,78,fuzzy_canonical,88.8,has_credits_no_shared_actor
The Sealed Soil,Marva Nabili,1977,Iran,tt0154728,1977,90,fuzzy_canonical,100.0,has_credits_no_shared_actor
White Rock,Tony Maylam,1977,United Kingdom,tt0076916,1977,77,fuzzy_canonical,100.0,has_credits_no_shared_actor
Gates of Heaven,Errol Morris,1978,United States,tt0077598,1978,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
Jubilee,Derek Jarman,1978,United Kingdom,tt0076240,1978,106,fuzzy_canonical,100.0,has_credits_no_shared_actor
Koko: A Talking Gorilla,Barbet Schroeder,1978,France,tt0076097,1978,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
My Way Home,Bill Douglas,1978,United Kingdom,tt0077964,1978,71,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Terror and the Time,Rupert Roonaraine,1978,Guyana,tt0295723,1979,70,fuzzy_canonical,92.5,no_actor_credits_in_imdb
The Tree of Wooden Clogs,Ermanno Olmi,1978,Italy,tt0077138,1978,186,fuzzy_canonical,100.0,has_credits_no_shared_actor
Family Nest,Béla Tarr,1979,,tt0077383,1979,108,fuzzy_canonical,100.0,has_credits_no_shared_actor
Perfumed Nightmare,Kidlat Tahimik,1979,Philippines,tt0076341,1977,93,fuzzy_canonical,88.8,has_credits_no_shared_actor
Poto and Cabengo,Jean-Pierre Gorin,1980,United States,tt0196866,1979,77,fuzzy_canonical,92.5,has_credits_no_shared_actor
Nightshift,Robina Rose,1981,United Kingdom,tt33253824,1981,68,fuzzy_canonical,100.0,has_credits_no_shared_actor
"O Sport, You Are Peace!",Juri Ozerov,1981,Soviet Union,tt0151789,1981,149,fuzzy_canonical,97.0,has_credits_no_shared_actor
The World of Gilbert & George,Gilbert Prousch and George Passmore,1981,United Kingdom,tt1864554,1981,69,fuzzy_canonical,96.0,has_credits_no_shared_actor
Trances,Ahmed El Maanouni,1981,Morocco,tt0406280,1981,90,fuzzy_canonical,100.0,has_credits_no_shared_actor
Turumba,Kidlat Tahimik,1981,Philippines,tt0278782,1981,95,fuzzy_canonical,100.0,has_credits_no_shared_actor
Will,Jessie Maple,1981,United States,tt0232951,1981,80,fuzzy_canonical,100.0,has_credits_no_shared_actor
All by Myself: The Earth Kitt Story,Christian Blackwood,1982,United States,tt0083539,1982,87,fuzzy_canonical,99.7,has_credits_no_shared_actor
Cane River,Horace Jenkins,1982,United States,tt0318346,1982,104,fuzzy_canonical,100.0,has_credits_no_shared_actor
Eating Raoul,Paul Bartel,1982,United States,tt0083869,1982,90,fuzzy_canonical,100.0,has_credits_no_shared_actor
Rat Trap,Adoor Gopalakrishnan,1982,India,tt0082318,1982,121,fuzzy_canonical,100.0,has_credits_no_shared_actor
"Say Amen, Somebody",George T. Nierenberg,1982,United States,tt0086245,1982,100,fuzzy_canonical,100.0,has_credits_no_shared_actor
Scrubbers,Mai Zetterling,1982,United Kingdom,tt0086265,1982,93,fuzzy_canonical,100.0,has_credits_no_shared_actor
Smithereens,Susan Seidelman,1982,United States,tt0084698,1982,93,fuzzy_canonical,100.0,has_credits_no_shared_actor
They Call Me Bruce,Elliott Hong,1982,United States,tt0084786,1982,87,fuzzy_canonical,100.0,has_credits_no_shared_actor
Mississippi Blues,Bertrand Tavernier and Robert Parrish,1983,France,tt0085946,1983,96,fuzzy_canonical,96.4,no_actor_credits_in_imdb
The Man Who Loved Women,Blake Edwards,1983,United States,tt0085891,1983,110,fuzzy_canonical,100.0,has_credits_no_shared_actor
A Turning Point,Kim Takal,1984,Bosnia and Herzegovina,tt7266388,1984,82,fuzzy_canonical,100.0,no_actor_credits_in_imdb
First Graders,Abbas Kiarostami,1984,Iran,tt0086923,1984,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
Secret Honor,Robert Altman,1984,United States,tt0088074,1984,90,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Runner,Amir Naderi,1984,Iran,tt0088992,1984,94,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Times of Harvey Milk,Robert Epstein,1984,United States,tt0088275,1984,90,fuzzy_canonical,96.0,has_credits_no_shared_actor
Come and See,Elem Klimov,1985,Soviet Union,tt0091251,1985,142,fuzzy_canonical,100.0,has_credits_no_shared_actor
Louie Bluie,Terry Zwigoff,1985,United States,tt0089507,1985,75,fuzzy_canonical,100.0,has_credits_no_shared_actor
Mala Noche,Gus Van Sant,1985,United States,tt0089537,1986,78,fuzzy_canonical,92.5,has_credits_no_shared_actor
You Got to Move,Lucy Massie Phenix and Veronica Selver,1985,United States,tt0204066,1985,85,fuzzy_canonical,96.3,has_credits_no_shared_actor
16 Days of Glory,Bud Greenspan,1986,United States,tt0090559,1985,284,fuzzy_canonical,92.5,has_credits_no_shared_actor
Routine Pleasures,Jean-Pierre Gorin,1986,United States,tt0274069,1986,81,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Green Ray,Eric Rohmer,1986,France,tt0091830,1986,99,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Photograph,Nico Papatakis,1986,France,tt0093733,1986,102,fuzzy_canonical,98.1,has_credits_no_shared_actor
Vera,Sérgio Toledo,1986,Brazil,tt0094248,1986,88,fuzzy_canonical,100.0,has_credits_no_shared_actor
Border Radio,"Allison Anders, Dean Lent, and Kurt Voss",1987,United States,tt0090766,1987,87,fuzzy_canonical,95.6,has_credits_no_shared_actor
I Was a Teenage Zombie,John Elias Michalakis,1987,United States,tt0093238,1987,90,fuzzy_canonical,100.0,has_credits_no_shared_actor
Monologue,Adoor Gopalakrishnan,1987,India,tt0092557,1987,125,fuzzy_canonical,100.0,has_credits_no_shared_actor
Pathfinder,Nils Gaup,1987,Norway,tt0093668,1987,86,fuzzy_canonical,100.0,has_credits_no_shared_actor
"Rita, Sue and Bob Too",Alan Clarke,1987,United Kingdom,tt0091859,1987,89,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Emperor’s Naked Army Marches On,Kazuo Hara,1987,Japan,tt0092963,1987,122,fuzzy_canonical,100.0,has_credits_no_shared_actor
West Is West,David Rathod,1987,United States,tt0094314,1989,80,fuzzy_canonical,88.8,has_credits_no_shared_actor
Beyond All Barriers,Lee Ji-won,1988,South Korea,tt7266776,1989,92,fuzzy_canonical,92.5,no_actor_credits_in_imdb
It Couldn’t Happen Here,Jack Bond,1988,United Kingdom,tt0093284,1987,86,fuzzy_canonical,92.5,has_credits_no_shared_actor
Let’s Get Lost,Bruce Weber,1988,United States,tt0095515,1988,120,fuzzy_canonical,100.0,has_credits_no_shared_actor
Re-wind,Hisayasu Satō,1988,Japan,tt0095961,1988,64,fuzzy_canonical,100.0,has_credits_no_shared_actor
Remote Control,Jeff Lieberman,1988,United States,tt0093843,1988,88,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Thin Blue Line,Errol Morris,1988,United States,tt0096257,1988,101,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Vanishing,George Sluizer,1988,France,tt0096163,1988,107,fuzzy_canonical,100.0,has_credits_no_shared_actor
Common Threads: Stories from the Quilt,Rob Epstein and Jeffrey Friedman,1989,United States,tt0097099,1989,79,fuzzy_canonical,95.4,has_credits_no_shared_actor
For All Mankind,Al Reinert,1989,United States,tt0097372,1989,80,fuzzy_canonical,100.0,has_credits_no_shared_actor
I Went to the Dance,Les Blank,1989,,tt0097603,1989,84,fuzzy_canonical,100.0,has_credits_no_shared_actor
Sweetie,Jane Campion,1989,New Zealand,tt0098725,1989,97,fuzzy_canonical,100.0,has_credits_no_shared_actor
Twice as Nice,Jessie Maple,1989,United States,tt0234932,1989,70,fuzzy_canonical,100.0,has_credits_no_shared_actor
An Angel at My Table,Jane Campion,1990,New Zealand,tt0099040,1990,158,fuzzy_canonical,100.0,has_credits_no_shared_actor
Close-up,Abbas Kiarostami,1990,Iran,tt0100234,1990,98,fuzzy_canonical,100.0,has_credits_no_shared_actor
Paris Is Burning,Jennie Livingston,1990,United States,tt0100332,1990,78,fuzzy_canonical,100.0,has_credits_no_shared_actor
TGM the Liberator,Věra Chytilová,1990,Czechoslovakia,tt0170651,1990,60,fuzzy_canonical,100.0,no_actor_credits_in_imdb
A Brief History of Time,Errol Morris,1991,United States,tt0103882,1991,80,fuzzy_canonical,100.0,has_credits_no_shared_actor
Homicide,David Mamet,1991,United States,tt0102048,1991,102,fuzzy_canonical,100.0,has_credits_no_shared_actor
Innocents Abroad,"Les Blank, Vikram Jayanti, and Chris Simon",1991,United States,tt0130792,1991,84,fuzzy_canonical,94.6,no_actor_credits_in_imdb
Jacquot de Nantes,Agnès Varda,1991,France,tt0102141,1991,118,fuzzy_canonical,100.0,has_credits_no_shared_actor
Lumumba: Death of a Prophet,Raoul Peck,1991,"Congo, The Democratic Republic of the",tt0104775,1991,69,fuzzy_canonical,100.0,has_credits_no_shared_actor
One Hand Don’t Clap,Kavery Kaul,1991,United States,tt0102594,1991,92,fuzzy_canonical,100.0,has_credits_no_shared_actor
Poison,Todd Haynes,1991,United States,tt0102687,1991,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
Slacker,Richard Linklater,1991,United States,tt0102943,1990,97,fuzzy_canonical,92.5,has_credits_no_shared_actor
Thank You and Good Night,Jan Oxenberg,1991,United States,tt0103070,1991,83,fuzzy_canonical,100.0,has_credits_no_shared_actor
Guelwaar,Ousmane Sembène,1992,France,tt0104373,1992,115,fuzzy_canonical,100.0,has_credits_no_shared_actor
Man Bites Dog,"Rémy Belvaux, André Bonzel, and Benoit Poelvoorde",1992,Belgium,tt0103905,1992,95,fuzzy_canonical,94.8,has_credits_no_shared_actor
My Crasy Life,Jean-Pierre Gorin,1992,United States,tt0104953,1992,95,fuzzy_canonical,100.0,no_actor_credits_in_imdb
"One Light, One World",Joe Jay Jalbert and R. Douglas Copsey,1992,France,tt7266800,1992,104,fuzzy_canonical,95.9,has_credits_no_shared_actor
The Long Day Closes,Terence Davies,1992,United Kingdom,tt0104753,1992,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
Where Are We? Our Trip Through America,Rob Epstein and Jeffrey Friedman,1992,United States,tt0105808,1992,73,fuzzy_canonical,95.4,has_credits_no_shared_actor
Marathon,Carlos Saura,1993,Sweden,tt0185456,1993,130,fuzzy_canonical,100.0,has_credits_no_shared_actor
A Dedicated Life,Kazuo Hara,1994,Japan,tt0109586,1994,157,fuzzy_canonical,100.0,has_credits_no_shared_actor
"Clean, Shaven",Lodge Kerrigan,1994,United States,tt0106579,1993,79,fuzzy_canonical,92.5,has_credits_no_shared_actor
Double Happiness,Mina Shum,1994,Canada,tt0109655,1994,87,fuzzy_canonical,100.0,has_credits_no_shared_actor
Hoop Dreams,Steve James,1994,United States,tt0110057,1994,170,fuzzy_canonical,100.0,has_credits_no_shared_actor
Umbrellas,"Albert Maysles, Henry Corra, and Grahame Weinbren",1994,United States,tt0111541,1994,81,fuzzy_canonical,95.1,has_credits_no_shared_actor
Angela,Rebecca Miller,1995,United States,tt0112364,1995,99,fuzzy_canonical,100.0,has_credits_no_shared_actor
Halving the Bones,Ruth Ozeki,1995,Japan,tt0116475,1996,70,fuzzy_canonical,89.0,no_actor_credits_in_imdb
Rude,Clement Virgo,1995,Canada,tt0114305,1995,89,fuzzy_canonical,100.0,has_credits_no_shared_actor
Welcome II the Terrordome,Ngozi Onwurah,1995,United Kingdom,tt0111681,1995,95,fuzzy_canonical,100.0,has_credits_no_shared_actor
Intimate Relations,Philip Goodhew,1996,United Kingdom,tt0116643,1996,105,fuzzy_canonical,100.0,has_credits_no_shared_actor
Perfect Love,Catherine Breillat,1996,France,tt0117296,1996,110,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Delta,Ira Sachs,1996,United States,tt0116070,1996,85,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Rolling Stones Rock and Roll Circus,Michael Lindsay-Hogg,1996,United Kingdom,tt0122689,1996,65,fuzzy_canonical,100.0,no_actor_credits_in_imdb
La vie de Jésus,Bruno Dumont,1997,France,tt0120448,1997,96,fuzzy_canonical,100.0,has_credits_no_shared_actor
Taste of Cherry,Abbas Kiarostami,1997,Iran,tt0120265,1997,95,fuzzy_canonical,100.0,has_credits_no_shared_actor
Didn’t Do It for Love,Monika Treut,1998,Germany,tt0155667,1997,81,fuzzy_canonical,92.5,has_credits_no_shared_actor
Drylongso,Cauleen Smith,1998,United States,tt0181517,1998,86,fuzzy_canonical,100.0,has_credits_no_shared_actor
200 Cigarettes,Risa Bramon Garcia,1999,United States,tt0137338,1999,101,fuzzy_canonical,100.0,has_credits_no_shared_actor
Bleeder,Nicolas Winding Refn,1999,Denmark,tt0161292,1999,98,fuzzy_canonical,100.0,has_credits_no_shared_actor
Compensation,Zeinabu irene Davis,1999,United States,tt0223027,1999,95,fuzzy_canonical,100.0,has_credits_no_shared_actor
Following,Christopher Nolan,1999,United Kingdom,tt0154506,1998,69,fuzzy_canonical,92.5,has_credits_no_shared_actor
Ghost Dog: The Way of the Samurai,Jim Jarmusch,1999,United States,tt0165798,1999,116,fuzzy_canonical,100.0,has_credits_no_shared_actor
Instrument,Jem Cohen,1999,United States,tt0230334,1999,115,fuzzy_canonical,100.0,has_credits_no_shared_actor
L’humanité,Bruno Dumont,1999,France,tt0197569,1999,141,fuzzy_canonical,100.0,has_credits_no_shared_actor
Ratcatcher,Lynne Ramsay,1999,United Kingdom,tt0171685,1999,94,fuzzy_canonical,100.0,has_credits_no_shared_actor
Regret to Inform,Barbara Sonneborn,1999,United States,tt0181786,1998,72,fuzzy_canonical,92.5,has_credits_no_shared_actor
The Straight Story,David Lynch,1999,United States,tt0166896,1999,112,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Wind Will Carry Us,Abbas Kiarostami,1999,Iran,tt0209463,1999,118,fuzzy_canonical,100.0,has_credits_no_shared_actor
George Washington,David Gordon Green,2000,United States,tt0262432,2000,89,fuzzy_canonical,100.0,has_credits_no_shared_actor
Mysterious Object at Noon,Apichatpong Weerasethakul,2000,Thailand,tt0269587,2000,89,fuzzy_canonical,100.0,has_credits_no_shared_actor
Songs from the Second Floor,Roy Andersson,2000,Sweden,tt0120263,2000,98,fuzzy_canonical,100.0,has_credits_no_shared_actor
The Natural History of the Chicken,Mark Lewis,2000,United States,tt0257954,2000,60,fuzzy_canonical,100.0,has_credits_no_shared_actor
La Ciénaga,Lucrecia Martel,2001,Argentina,tt0240419,2001,103,fuzzy_canonical,100.0,has_credits_no_shared_actor
11’09”01—September 11,Mira Nair,2002,United States,tt0328802,2002,134,fuzzy_canonical,100.0,has_credits_no_shared_actor
Dahmer,David Jacobson,2002,United States,tt0285728,2002,101,fuzzy_canonical,100.0,has_credits_no_shared_actor
