title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
Princess Yang Kwei-fei,Kenji Mizoguchi,1955,Japan,tt0048820,1955,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Samurai II: Duel at Ichijoji Temple,Hiroshi Inagaki,1955,Japan,tt0048579,1955,104,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Moon Has Risen,Kinuyo Tanaka,1955,Japan,tt0417214,1955,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Phantom Horse,Koji Shima,1955,Japan,tt0203797,1955,90,fuzzy_canonical,100.0,1.0,1.0,1.0,7
The Tattered Wings,Keisuke Kinoshita,1955,Japan,tt0048731,1955,99,fuzzy_canonical,100.0,1.0,1.0,1.0,10
You Were Like a Wild Chrysanthemum,Keisuke Kinoshita,1955,Japan,tt0048429,1955,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Black River,Masaki Kobayashi,1956,Japan,tt0134771,1957,114,fuzzy_canonical,92.5,1.0,1.0,0.5,10
Crazed Fruit,Kô Nakahira,1956,Japan,tt0160440,1956,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Early Spring,Yasujiro Ozu,1956,Japan,tt0049784,1956,145,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Farewell to Dream,Keisuke Kinoshita,1956,Japan,tt0049976,1956,78,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Flowing,Mikio Naruse,1956,Japan,tt0049537,1956,117,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Fountainhead,Masaki Kobayashi,1956,Japan,tt0134749,1956,129,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Godzilla, King of the Monsters",Ishiro Honda and Terry O. Morse,1956,Japan,tt0197521,1956,80,fuzzy_canonical,95.8,1.0,0.88,1.0,10
I Will Buy You,Masaki Kobayashi,1956,Japan,tt0134286,1956,111,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Rodan,Ishiro Honda,1956,Japan,tt0049782,1956,74,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Samurai III: Duel at Ganryu Island,Hiroshi Inagaki,1956,Japan,tt0049710,1956,105,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Shozo, a Cat, and Two Women",Shirô Toyoda,1956,Japan,tt0274686,1956,106,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Street of Shame,Kenji Mizoguchi,1956,Japan,tt0048933,1956,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Burmese Harp,Kon Ichikawa,1956,Japan,tt0049012,1956,116,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Rose on His Arm,Keisuke Kinoshita,1956,Japan,tt0049821,1956,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Thick-Walled Room,Masaki Kobayashi,1956,Japan,tt0134756,1956,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Undercurrent,Kozaburo Yoshimura,1956,,tt0253967,1956,104,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Danger Stalks Near,Keisuke Kinoshita,1957,Japan,tt0050421,1957,79,fuzzy_canonical,100.0,1.0,1.0,1.0,10
I Am Waiting,Koreyoshi Kurahara,1957,Japan,tt1248984,1957,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Lower Depths,Akira Kurosawa,1957,Japan,tt0050330,1957,137,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Mysterians,Ishiro Honda,1957,Japan,tt0050251,1957,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Throne of Blood,Akira Kurosawa,1957,Japan,tt0050613,1957,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Tokyo Twilight,Yasujiro Ozu,1957,Japan,tt0051093,1957,140,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Conflagration,Kon Ichikawa,1958,Japan,tt0051584,1958,99,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Endless Desire,Shohei Imamura,1958,Japan,tt0051704,1958,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Equinox Flower,Yasujiro Ozu,1958,Japan,tt0051720,1958,118,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Muhomatsu, the Rickshaw Man",Hiroshi Inagaki,1958,Japan,tt0051955,1958,103,fuzzy_canonical,91.7,0.8347,1.0,1.0,10
Night Drum,Tadashi Imai,1958,Japan,tt0052414,1958,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Rusty Knife,Toshio Masuda,1958,Japan,tt0360946,1958,90,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Stakeout,Yoshitaro Nomura,1958,Japan,tt0226737,1958,116,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Stolen Desire,Shohei Imamura,1958,Japan,tt0052016,1958,92,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Ballad of Narayama,Keisuke Kinoshita,1958,Japan,tt0051980,1958,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Eternal Rainbow,Keisuke Kinoshita,1958,Japan,tt0051828,1958,106,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Hidden Fortress,Akira Kurosawa,1958,Japan,tt0051808,1958,126,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Perfect Game,Toshio Masuda,1958,Japan,tt1935157,1958,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Varan the Unbelievable,Ishiro Honda,1958,Japan,tt0051512,1958,87,fuzzy_canonical,92.3,0.8455,1.0,1.0,10
Farewell to Spring,Keisuke Kinoshita,1959,Japan,tt0053259,1959,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Fires on the Plain,Kon Ichikawa,1959,Japan,tt0053121,1959,108,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Floating Weeds,Yasujiro Ozu,1959,Japan,tt0053390,1959,119,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Good Morning,Yasujiro Ozu,1959,Japan,tt0053134,1959,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Hiroshima mon amour,Alain Resnais,1959,France,tt0052893,1959,90,fuzzy_canonical,100.0,1.0,1.0,1.0,6
Odd Obsession,Kon Ichikawa,1959,Japan,tt0052957,1959,107,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Samurai Saga,Hiroshi Inagaki,1959,Japan,tt0052579,1959,111,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Street of Love and Hope,Nagisa Oshima,1959,Japan,tt0052540,1959,62,fuzzy_canonical,92.1,0.8429,1.0,1.0,10
The Human Condition I,Masaki Kobayashi,1959,Japan,tt0053114,1959,208,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Human Condition II,Masaki Kobayashi,1959,Japan,tt0053115,1959,181,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Snow Flurry,Keisuke Kinoshita,1959,Japan,tt0052966,1959,78,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Thus Another Day,Keisuke Kinoshita,1959,Japan,tt0052981,1959,74,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Tokaido Yotsuya kaidan,Nobuo Nakagawa,1959,Japan,tt0155278,1959,76,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Cruel Story of Youth,Nagisa Oshima,1960,Japan,tt0054286,1960,96,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Everything Goes Wrong,Seijun Suzuki,1960,Japan,tt0054350,1960,71,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Her Brother,Kon Ichikawa,1960,Japan,tt0054151,1960,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Intimidation,Koreyoshi Kurahara,1960,Japan,tt2017464,1960,65,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Jigoku,Nobuo Nakagawa,1960,Japan,tt0154683,1960,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Late Autumn,Yasujiro Ozu,1960,Japan,tt0053579,1960,128,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Night and Fog in Japan,Nagisa Oshima,1960,Japan,tt0054122,1960,107,fuzzy_canonical,100.0,1.0,1.0,1.0,10
One-Way Ticket to Love,Masahiro Shinoda,1960,Japan,tt0054143,1960,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Spring Dreams,Keisuke Kinoshita,1960,Japan,tt0053892,1960,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Take Aim at the Police Van,Seijun Suzuki,1960,Japan,tt0054325,1960,79,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Bad Sleep Well,Akira Kurosawa,1960,Japan,tt0054460,1960,151,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Naked Island,Kaneto Shindo,1960,Japan,tt0056049,1960,96,fuzzy_canonical,100.0,1.0,1.0,1.0,5
The River Fuefuki,Keisuke Kinoshita,1960,Japan,tt0053842,1960,117,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Sun’s Burial,Nagisa Oshima,1960,Japan,tt0054366,1960,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Wandering Princess,Kinuyo Tanaka,1960,Japan,tt0385202,1960,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Warped Ones,Koreyoshi Kurahara,1960,Japan,tt0057238,1960,75,fuzzy_canonical,100.0,1.0,1.0,1.0,10
When a Woman Ascends the Stairs,Mikio Naruse,1960,Japan,tt0054144,1960,111,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Girls of the Night,Kinuyo Tanaka,1961,Japan,tt0203040,1961,93,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Immortal Love,Keisuke Kinoshita,1961,Japan,tt0054845,1961,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Killers on Parade,Masahiro Shinoda,1961,Japan,tt0054107,1961,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Love New and Old,Masahiro Shinoda,1961,Japan,tt0055440,1961,82,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Our Marriage,Masahiro Shinoda,1961,Japan,tt0055269,1962,67,fuzzy_canonical,92.5,1.0,1.0,0.5,10
The End of Summer,Yasujiro Ozu,1961,Japan,tt0055052,1961,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Human Condition III,Masaki Kobayashi,1961,Japan,tt0055233,1961,190,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Yojimbo,Akira Kurosawa,1961,Japan,tt0055630,1961,110,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Zero Focus,Yoshitaro Nomura,1961,Japan,tt0227858,1961,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Flame at the Pier,Masahiro Shinoda,1962,Japan,tt0056562,1962,92,fuzzy_canonical,100.0,1.0,1.0,1.0,10
An Autumn Afternoon,Yasujiro Ozu,1962,Japan,tt0056444,1962,113,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Ballad of a Workman,Keisuke Kinoshita,1962,Japan,tt0056003,1962,102,fuzzy_canonical,97.3,0.9462,1.0,1.0,10
Being Two Isn’t Easy,Kon Ichikawa,1962,Japan,tt0056680,1962,88,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Black Lizard,Umetsugu Inoue,1962,Japan,tt0229519,1962,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Harakiri,Masaki Kobayashi,1962,Japan,tt0056058,1962,133,fuzzy_canonical,100.0,1.0,1.0,1.0,10
I Hate But Love,Koreyoshi Kurahara,1962,Japan,tt0360839,1962,106,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Kiru,Kenji Misumi,1962,,tt0056144,1962,71,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Love Under the Crucifix,Kinuyo Tanaka,1962,Japan,tt0203751,1962,102,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Pigs and Battleships,Shohei Imamura,1962,Japan,tt0054709,1961,108,fuzzy_canonical,92.5,1.0,1.0,0.5,10
Pitfall,Hiroshi Teshigahara,1962,Japan,tt0203612,1962,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Sanjuro,Akira Kurosawa,1962,Japan,tt0056443,1962,96,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Inheritance,Masaki Kobayashi,1962,Japan,tt0056135,1962,107,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Tale of Zatoichi,Kenji Misumi,1962,Japan,tt0056714,1962,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Tale of Zatoichi Continues,Kazuo Mori,1962,Japan,tt0200309,1962,72,fuzzy_canonical,100.0,1.0,1.0,1.0,10
A Legend or Was It?,Keisuke Kinoshita,1963,Japan,tt0057494,1963,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
An Actor’s Revenge,Kon Ichikawa,1963,Japan,tt0057710,1963,115,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Atragon,Ishiro Honda,1963,Japan,tt0057215,1963,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
High and Low,Akira Kurosawa,1963,Japan,tt0057565,1963,143,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Matango,Ishiro Honda,1963,Japan,tt0057295,1963,89,fuzzy_canonical,100.0,1.0,1.0,1.0,10
New Tale of Zatoichi,Tokuzo Tanaka,1963,Japan,tt0057503,1963,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Sing, Young People!",Keisuke Kinoshita,1963,Japan,tt0057632,1963,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Insect Woman,Shohei Imamura,1963,Japan,tt0057363,1963,123,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Third Shadow Warrior,Umetsugu Inoue,1963,Japan,tt0200559,1963,104,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Youth of the Beast,Seijun Suzuki,1963,Japan,tt0057697,1963,92,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Zatoichi on the Road,Kimiyoshi Yasuda,1963,Japan,tt0057714,1963,85,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Zatoichi the Fugitive,Tokuzo Tanaka,1963,Japan,tt0057715,1963,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Adventures of Zatoichi,Kimiyoshi Yasuda,1964,Japan,tt0164984,1964,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Assassin,Masahiro Shinoda,1964,Japan,tt0164347,1964,104,fuzzy_canonical,96.2,0.9231,1.0,1.0,10
Black Sun,Koreyoshi Kurahara,1964,Japan,tt0781599,1964,95,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Cruel Gun Story,Takumi Furukawa,1964,Japan,tt1446089,1964,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Dogora,Ishiro Honda,1964,Japan,tt0058698,1964,83,fuzzy_canonical,100.0,1.0,1.0,1.0,10
