title,criterion_director,criterion_year,criterion_country,imdb_tconst,imdb_year,imdb_runtime_minutes,match_method,confidence_score,title_similarity,director_similarity,year_similarity,actor_count
Charlie Is My Darling,Peter Whitehead,1966,United Kingdom,tt0060231,1966,60,fuzzy_canonical,100.0,1.0,1.0,1.0,7
Chimes at Midnight,Orson Welles,1966,Spain,tt0059012,1965,115,fuzzy_canonical,92.5,1.0,1.0,0.5,10
Le deuxième souffle,Jean-Pierre Melville,1966,France,tt0060305,1966,150,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Les créatures,Agnès Varda,1966,France,tt0060263,1966,92,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Masculin féminin,Jean-Luc Godard,1966,France,tt0060675,1966,103,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Hawks and the Sparrows,Pier Paolo Pasolini,1966,Italy,tt0061132,1966,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
"Who Are You, Polly Maggoo?",William Klein,1966,France,tt0060879,1966,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Young Törless,Volker Schlöndorff,1966,Germany,tt0060574,1966,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
2 or 3 Things I Know About Her,Jean-Luc Godard,1967,France,tt0060304,1967,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Belle de jour,Luis Buñuel,1967,France,tt0061395,1967,100,fuzzy_canonical,100.0,1.0,1.0,1.0,10
La collectionneuse,Eric Rohmer,1967,France,tt0061495,1967,86,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Le samouraï,Jean-Pierre Melville,1967,France,tt0062229,1967,101,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Mouchette,Robert Bresson,1967,France,tt0061996,1967,81,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Oedipus Rex,Pier Paolo Pasolini,1967,Italy,tt0061613,1967,104,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Peppermint Frappé,Carlos Saura,1967,Spain,tt0062113,1967,94,fuzzy_canonical,100.0,1.0,1.0,1.0,10
PlayTime,Jacques Tati,1967,France,tt0062136,1967,155,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Shepherds of Calamity,Nico Papatakis,1967,Greece,tt0061084,1967,120,fuzzy_canonical,98.1,1.0,0.9454,1.0,10
The Story of a Three Day Pass,Melvin Van Peebles,1967,France,tt0063646,1967,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Young Girls of Rochefort,Jacques Demy,1967,France,tt0062873,1967,125,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Weekend,Jean-Luc Godard,1967,France,tt0062480,1967,105,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Lucía,Humberto Solás,1968,Cuba,tt0064609,1968,160,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Memories of Underdevelopment,Tomás Gutiérrez Alea,1968,Cuba,tt0063291,1968,97,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Spirits of the Dead,"Federico Fellini, Louis Malle, and Roger Vadim",1968,Italy,tt0063715,1968,121,fuzzy_canonical,95.5,1.0,0.8727,1.0,10
Stolen Kisses,François Truffaut,1968,France,tt0062695,1968,91,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Stress Is Three,Carlos Saura,1968,Spain,tt0063651,1968,94,fuzzy_canonical,100.0,1.0,1.0,1.0,8
Sympathy for the Devil,Jean-Luc Godard,1968,United Kingdom,tt0063665,1968,115,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Teorema,Pier Paolo Pasolini,1968,Italy,tt0063678,1968,98,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Dillinger Is Dead,Marco Ferreri,1969,Italy,tt0062893,1969,95,fuzzy_canonical,100.0,1.0,1.0,1.0,9
Honeycomb,Carlos Saura,1969,Spain,tt0064620,1969,102,fuzzy_canonical,100.0,1.0,1.0,1.0,8
La piscine,Jacques Deray,1969,France,tt0064816,1969,122,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Le grand amour,Pierre Etaix,1969,France,tt0064390,1969,87,fuzzy_canonical,100.0,1.0,1.0,1.0,10
L’amour fou,Jacques Rivette,1969,France,tt0062663,1969,252,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Medea,Pier Paolo Pasolini,1969,Italy,tt0066065,1969,118,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Mr. Freedom,William Klein,1969,France,tt0064674,1968,95,fuzzy_canonical,92.5,1.0,1.0,0.5,10
My Night at Maud’s,Eric Rohmer,1969,France,tt0064612,1969,105,fuzzy_canonical,100.0,1.0,1.0,1.0,9
Porcile,Pier Paolo Pasolini,1969,Italy,tt0064828,1969,99,fuzzy_canonical,100.0,1.0,1.0,1.0,10
The Honeymoon Killers,Leonard Kastle,1969,United States,tt0064437,1970,107,fuzzy_canonical,92.5,1.0,1.0,0.5,10
Z,Costa-Gavras,1969,Greece,tt0065234,1969,127,fuzzy_canonical,100.0,1.0,1.0,1.0,10
Bed and Board,François Truffaut,1970,France,tt0065651,1970,97,fuzzy_canonical,94.7,0.894,1.0,1.0,10
Claire’s Knee,Eric Rohmer,1970,France,tt0065772,1970,105,fuzzy_canonical,100.0,1.0,1.0,1.0,8
