cluster,imdb_tconst,title,year,imdb_link,color_or_bw
modern_american_cinema,tt0108554,When Pigs Fly,1993,https://www.imdb.com/title/tt0108554/,
modern_american_cinema,tt0232951,Will,1981,https://www.imdb.com/title/tt0232951/,
modern_american_cinema,tt5323760,Winter Brothers,2017,https://www.imdb.com/title/tt5323760/,
modern_american_cinema,tt0092258,Yam daabo,1987,https://www.imdb.com/title/tt0092258/,
modern_american_cinema,tt1189367,Yeast,2008,https://www.imdb.com/title/tt1189367/,
european_art_cinema,tt0106504,Calendar,1993,https://www.imdb.com/title/tt0106504/,
european_art_cinema,tt0093006,Family Viewing,1987,https://www.imdb.com/title/tt0093006/,
european_art_cinema,tt0293153,Fifi Martingale,2001,https://www.imdb.com/title/tt0293153/,
european_art_cinema,tt0219058,Gloria Mundi,1976,https://www.imdb.com/title/tt0219058/,
european_art_cinema,tt0092219,Golden Eighties,1986,https://www.imdb.com/title/tt0092219/,
european_art_cinema,tt0126654,Lady of the Train,1952,https://www.imdb.com/title/tt0126654/,
european_art_cinema,tt0113145,Le garçu,1995,https://www.imdb.com/title/tt0113145/,
european_art_cinema,tt0188388,Les abysses,1963,https://www.imdb.com/title/tt0188388/,
european_art_cinema,tt0066531,Long Live the Bride and Groom,1970,https://www.imdb.com/title/tt0066531/,
european_art_cinema,tt0091461,Maine-Océan Express,1986,https://www.imdb.com/title/tt0091461/,
european_art_cinema,tt0064674,Mr. Freedom,1969,https://www.imdb.com/title/tt0064674/,
european_art_cinema,tt0102491,My Father Is Coming,1991,https://www.imdb.com/title/tt0102491/,
european_art_cinema,tt0070007,Near Orouet,1971,https://www.imdb.com/title/tt0070007/,
european_art_cinema,tt0087789,Next of Kin,1984,https://www.imdb.com/title/tt0087789/,
european_art_cinema,tt0074168,Return of the Prodigal Son,1976,https://www.imdb.com/title/tt0074168/,
european_art_cinema,tt5363618,Sound of Metal,2019,https://www.imdb.com/title/tt5363618/,
european_art_cinema,tt0098368,Speaking Parts,1989,https://www.imdb.com/title/tt0098368/,
european_art_cinema,tt0273874,The Castaways of Turtle Island,1976,https://www.imdb.com/title/tt0273874/,
european_art_cinema,tt0191053,The Model Couple,1977,https://www.imdb.com/title/tt0191053/,
european_art_cinema,tt0071587,The Mouth Agape,1974,https://www.imdb.com/title/tt0071587/,
european_art_cinema,tt0196355,The Other,1999,https://www.imdb.com/title/tt0196355/,
european_art_cinema,tt5222918,The Other Side of Hope,2017,https://www.imdb.com/title/tt5222918/,
european_art_cinema,tt0046449,Torna!,1954,https://www.imdb.com/title/tt0046449/,
european_art_cinema,tt0095417,Virgin Machine,1989,https://www.imdb.com/title/tt0095417/,
european_art_cinema,tt0080125,West Indies: The Fugitive Slaves of Liberty,1979,https://www.imdb.com/title/tt0080125/,
golden_age_hollywood_british,tt0048250,A Kid for Two Farthings,1955,https://www.imdb.com/title/tt0048250/,
golden_age_hollywood_british,tt0039195,Blanche Fury,1948,https://www.imdb.com/title/tt0039195/,
golden_age_hollywood_british,tt0097531,How to Get Ahead in Advertising,1989,https://www.imdb.com/title/tt0097531/,
golden_age_hollywood_british,tt0029365,Over the Moon,1939,https://www.imdb.com/title/tt0029365/,
golden_age_hollywood_british,tt0030063,The Divorce of Lady X,1938,https://www.imdb.com/title/tt0030063/,
golden_age_hollywood_british,tt0069086,The Pied Piper,1972,https://www.imdb.com/title/tt0069086/,
golden_age_hollywood_british,tt0032138,The Wizard of Oz,1939,https://www.imdb.com/title/tt0032138/,
classic_japanese_cinema,tt0057710,An Actor’s Revenge,1963,https://www.imdb.com/title/tt0057710/,
classic_japanese_cinema,tt0056003,Ballad of a Workman,1962,https://www.imdb.com/title/tt0056003/,
classic_japanese_cinema,tt0056680,Being Two Isn’t Easy,1962,https://www.imdb.com/title/tt0056680/,
classic_japanese_cinema,tt0229519,Black Lizard,1962,https://www.imdb.com/title/tt0229519/,
classic_japanese_cinema,tt0053259,Farewell to Spring,1959,https://www.imdb.com/title/tt0053259/,
classic_japanese_cinema,tt0415906,Gatchaman: The Movie,1978,https://www.imdb.com/title/tt0415906/,
classic_japanese_cinema,tt0045971,Golden Demon,1954,https://www.imdb.com/title/tt0045971/,
classic_japanese_cinema,tt0202507,Golden Eyes,1968,https://www.imdb.com/title/tt0202507/,
classic_japanese_cinema,tt0309754,Heat Wave,1991,https://www.imdb.com/title/tt0309754/,
classic_japanese_cinema,tt0054107,Killers on Parade,1961,https://www.imdb.com/title/tt0054107/,
classic_japanese_cinema,tt0055440,Love New and Old,1961,https://www.imdb.com/title/tt0055440/,
