actor_nconst,actor_name
nm0050141,Dewey Balfa
nm0050482,Vincent Ball
nm0051257,Kirk Baltz
nm0051502,Junzaburô Ban
nm0051832,Chandana Banerjee
nm0052563,Christoph Bantzer
nm0055394,Ivor Barnard
nm0058011,Guerin Barry
nm0059200,Margaret Barton
nm0060477,Billy Bastiani
nm0062593,José Baviera
nm0065423,Gretchen Becker
nm0070987,Yves Beneyton
nm0071890,Linda Bennett
nm0073415,Aleksandr Berda
nm0075108,Olof Bergström
nm0076069,Francisco Bernal
nm0076319,Maurice Bénard
nm0076376,Roger Bernard
nm0076759,Patrick Bernhard
nm0077888,Michael Bertenshaw
nm0078079,Bertilo
nm0078388,Leila Bertrand
nm0079284,Françoise Bette
nm0080370,Shanti Bhattacherjee
nm0081547,Josef Bierbichler
nm0082996,Patrizia Bini
nm0083392,John Bird
nm0086198,Betsy Blair
nm0086924,Dominique Blanc
nm0088940,Robert Blome
nm0092330,Michel Boisrond
nm0093684,Lou Bonacki
nm0094036,Rudy Bond
nm0094672,Lou Bonin
nm0094948,Adrienne Bonnet
nm0095013,Maria Bonnevie
nm0096202,Juan Cruz Bordeu
nm0096293,Jacques B. Brunius
nm0096559,Graciela Borges
nm0097901,Subir Bose
nm0098392,Eva Bosáková
nm0099134,Jacques Boudet
nm0100910,Robin Bowen
nm0101026,L.E. Bowers Jr.
nm0102901,Kitty Bradbury
nm0104249,Pierre Bramma
nm0105118,Youssef Branki
nm0106539,Peter Breck
nm0107805,Bernard Bresslaw
nm0111240,Lee Broker
nm0111751,Tyler Brooke
nm0114755,Tally Brown
nm0116054,Richard Brundage
nm0116211,Roselyne Brunet
nm0117423,John Bryning
nm0118160,Katherina Buchhammer
nm0121519,Zlatko Buric
nm0122430,Ronald Burnett
nm0122941,Henrietta Burnside
nm0126365,Arthur Byron
nm0128130,Jean Cadell
nm10433466,Abu Bakr John
nm10433468,Ismail Satti
nm10449607,Natalia Neszuu
nm10493256,Rusty Tidenberg
nm10493330,Magdalena V. Garcia
nm11229573,Glenn Allensan
nm11233797,Victoria Joliddie
nm1220945,Toshiyuki Ichimura
nm1222269,Magdalena Flores
nm14097794,László Horváth
nm14109677,Vadim Stepanov
nm1417625,Gil
nm1417700,Alex Leon
nm1595636,Gary Bettenhausen
nm1787838,Marcia Karp
nm2469917,Calixto García
nm2493819,Toshizô Kudô
nm2501633,Lena Dunham
nm2527605,Heather Ferguson
nm2572489,Fei Kao
nm2573277,Luciana Souza
nm2582947,Ako Tomizawa
nm4391980,Yohan Vero
nm4473650,Charles Hamper
nm4481399,Bennett Abara
nm4483280,Loy Bowlin
nm5817448,Tak-Yan Wong
nm5836719,Ana Rita Gurgel
nm7353943,Abilio Torres
nm9666363,Joseph Kaplan
nm9722499,Gary Bates
nm0004490,Simon de La Brosse
nm0004749,Emily Bergl
nm0004834,Stephen Collins
nm0004990,Angie Harmon
nm0005598,Grand L. Bush
nm0005952,Georges Auric
nm0670724,Safka Pekkonen
nm0671515,Lilo Pempeit
nm0677954,Doris Petrie
nm0678135,Mahaya Petrossian
nm0679199,Julia Peña
nm0684001,Patrick Pineau
nm0689194,Pavel Polishchuk
nm0693799,Melvil Poupaud
nm0693846,Charline Bourré
nm0698461,Gilbert Prousch
nm0699949,María José Puerta
nm0700084,Frank Puglia
nm0701446,Tim Pye
nm0705509,Basil Radford
nm0706678,Mansour Rahbani
nm0707246,Anne Raitt
nm0708136,Setti Ramdane
nm0709503,Cestmír Randa
nm0711326,Frode Rasmussen
nm0712237,Marie-Claude Rauzier
nm0714726,Noel Redding
nm0714933,Dagmar Redinová
nm0718820,Santa Relli
nm0720381,Franco Ressel
nm0724966,Sylvie Richez
nm0726841,Jan Riha
nm0726886,Bjørg Riiser-Larsen
nm0730858,Beverley Roberts
nm0736683,Rogers
nm0736777,Charles 'Buddy' Rogers
nm0738331,Monique Rolland
nm0740067,Maurice Ronet
nm0740090,Fabrizio Rongione
nm0741455,Jane Rose
nm0743245,Bertram Ross
nm0744235,Leo Rossi
nm0746249,Marcel Rouzé
nm0748558,Ann Elisabeth Groth
nm0751899,Babe Ruth
nm0752323,Helena Ruzicková
nm0753716,Albert Rémy
nm0754734,Craig Sabin
nm0755725,Hinako Saeki
nm0756679,Renée Saint-Cyr
nm0756871,Tomoko Saitô
nm0758498,Pascale Salkin
nm0760373,Jacqueline Samuda
nm0766583,Gary Sauer
nm0767974,Ranko Sawa
nm0768430,Omar Sayed
nm0768788,Hubert Scales
nm0772159,Jean Schlegel
nm0775361,Annie Schreyer
nm0776407,Edith Schultze-Westrum
nm0776711,Erik Schumann
